CIP-NUMBER,Molecular marker,Individual,PSP.1stAco12,P2NP.1stAco12,PSP.2ndAco12,P2NP.2ndAco12,PSP.Lam11,P2NP.Lam11,PSP.Lav11,P2NP.Lav11,PSP.San10,P2NP.San10,PSP.San09,P2NP.San09
CIP308328.1,G1,1,76.85,2.87,66.52,1.18,88.65,4.26,83.33,0.33,88.34,2.83,89.61,1.08
CIP308328.10,G10,10,84.14,1.9,79.1,2.14,81.43,2.93,89.29,0.71,81.97,2.3,79.11,0
CIP308328.100,G100,100,74.04,0.4,60.77,0.07,86,0,85,0,88.34,3.18,87.72,0.7
CIP308328.101,G101,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.91,1.82
CIP308328.102,G102,102,84.78,1.88,83.38,0.27,87,3,73.75,0.59,88.03,1.41,87.41,1.75
CIP308328.103,G103,103,NA,NA,NA,NA,85,1,NA,NA,NA,NA,86.81,0
CIP308328.104,G104,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.105,G105,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.106,G106,106,59.4,0.13,63.72,0.14,85,2,NA,NA,90.25,0.72,86.81,1.39
CIP308328.107,G107,107,0.33,0,1.29,0,NA,NA,NA,NA,NA,NA,0,0
CIP308328.108,G108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.109,G109,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.65,2.48
CIP308328.11,G11,11,67.91,1.59,47.51,0.99,79.62,0.64,85.62,1.71,78.86,1.89,88.65,1.42
CIP308328.110,G110,110,NA,NA,NA,NA,NA,NA,88.65,1.06,86.51,0,84.18,0.34
CIP308328.111,G111,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.58,0
CIP308328.112,G112,112,NA,NA,NA,NA,92.59,0,86.21,0,NA,NA,89.29,0
CIP308328.113,G113,113,NA,NA,NA,NA,89.29,0,83.89,0.34,NA,NA,90.58,0
CIP308328.114,G114,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.37,0
CIP308328.115,G115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.32,0
CIP308328.116,G116,116,NA,NA,NA,NA,NA,NA,77.4,1.24,NA,NA,82.24,0
CIP308328.117,G117,117,68.73,0.89,59.42,0.11,89.61,2.15,79.11,0.32,NA,NA,78.62,0.94
CIP308328.118,G118,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
CIP308328.119,G119,119,NA,NA,NA,NA,68.87,1.1,78.13,1.25,NA,NA,85.32,0
CIP308328.12,G12,12,74.36,0.76,78.92,0.41,88.65,3.55,NA,NA,NA,NA,84.46,0.34
CIP308328.120,G120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.121,G121,121,74.05,0.41,63.36,0,87.41,0.7,86.21,0,83.61,0.33,83.89,0.34
CIP308328.122,G122,122,64.51,2.18,54.25,0.48,85.62,0.68,85.32,1.37,81.17,2.6,79.37,0.32
CIP308328.123,G123,123,71.14,1.73,60.88,1.34,88.97,1.07,87.11,2.44,NA,NA,80.13,0.96
CIP308328.124,G124,124,NA,NA,NA,NA,NA,NA,0,0,72.89,0.87,0,0
CIP308328.125,G125,125,78.37,0.8,63.66,0.85,NA,NA,85.62,2.74,NA,NA,87.41,0
CIP308328.126,G126,126,62.17,1.61,49.19,1.21,NA,NA,74.18,3.56,85.32,1.02,89.29,1.07
CIP308328.127,G127,127,66.65,0.39,44.63,0.06,80.65,2.26,81.7,0.33,88.03,1.76,88.65,0.71
CIP308328.128,G128,128,82.45,0.18,78.28,0.12,84.46,0.68,82.78,1,NA,NA,85.62,0.68
CIP308328.129,G129,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.61,0
CIP308328.13,G13,13,63.44,1.98,70.57,0.98,86.21,5.17,NA,NA,78.13,0.31,86.21,2.07
CIP308328.130,G130,130,84.08,1.49,79.18,0.17,NA,NA,NA,NA,NA,NA,89.93,0
CIP308328.131,G131,131,78.53,2.72,66.52,0.66,NA,NA,80.65,1.61,87.41,1.05,85.32,1.37
CIP308328.132,G132,132,NA,NA,NA,NA,NA,NA,NA,NA,84.75,1.69,84.75,1.02
CIP308328.133,G133,133,81.59,0.21,68.81,0.69,90.58,2.17,NA,NA,89.29,0,81.7,0
CIP308328.134,G134,134,78.57,0.26,NA,NA,88.97,3.56,86.21,0,NA,NA,85.62,0
CIP308328.135,G135,135,NA,NA,NA,NA,NA,NA,85.62,0.34,89.61,0,81.97,0
CIP308328.136,G136,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.137,G137,137,NA,NA,NA,NA,80.91,2.91,83.89,1,NA,NA,91.91,0
CIP308328.138,G138,138,NA,NA,NA,NA,84.18,2.69,NA,NA,NA,NA,NA,NA
CIP308328.139,G139,139,NA,NA,NA,NA,NA,NA,NA,NA,91.24,1.46,86.21,0
CIP308328.140,G140,140,75.52,2.56,NA,NA,81.17,2.27,83.89,2.68,87.72,2.11,86.51,2.08
CIP308328.141,G141,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.51,0.33
CIP308328.142,G142,142,81.3,0,65,0.07,NA,NA,85.91,0.69,NA,NA,91.91,0.37
CIP308328.143,G143,143,83,1.06,75.37,1.07,83.61,1.34,78.86,0.32,88.34,0.71,89.61,0.36
CIP308328.144,G144,144,45.04,0.1,45.09,0.07,85.03,1.7,NA,NA,NA,NA,66.23,0
CIP308328.145,G145,145,73.38,2.46,61.32,1.09,84.75,2.37,82.78,2.65,80.13,1.6,86.51,1.73
CIP308328.146,G146,146,54.26,0,42.26,0.09,NA,NA,82.24,0.66,83.33,1.33,71.63,0.57
CIP308328.147,G147,147,56.62,0,NA,NA,NA,NA,50,0,73.96,2.96,80.91,0
CIP308328.148,G148,148,84.72,0,74.96,0.14,89.29,0,87.72,1.4,83.89,1.01,93.98,0.38
CIP308328.149,G149,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.15,G15,15,70.7,0.97,56.69,0.7,81.43,2.61,75.38,0,81.17,0.32,85.03,0
CIP308328.150,G150,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.91,0
CIP308328.151,G151,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.152,G152,152,55.25,0.06,55.2,0.06,NA,NA,NA,NA,0,0,NA,NA
CIP308328.153,G153,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.154,G154,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.155,G155,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.29,0
CIP308328.156,G156,156,0.17,0,0,0,NA,NA,0,0,0,0,0,0
CIP308328.157,G157,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.158,G158,158,NA,NA,NA,NA,91.91,0.74,NA,NA,NA,NA,90.25,0
CIP308328.159,G159,159,67.77,0.59,74.63,0.23,87.72,1.75,NA,NA,86.21,2.76,68.26,1.02
CIP308328.16,G16,16,0.33,0,0,0,NA,NA,0,0,75.76,0,78.62,0
CIP308328.160,G160,160,0,0,0,0,NA,NA,0,0,0,0,0,0
CIP308328.161,G161,161,82.4,0.93,69.84,0.63,88.97,1.07,84.18,0.67,90.25,1.44,75.99,1.22
CIP308328.162,G162,162,67.96,0.95,38.56,0.75,NA,NA,76,0.3,NA,NA,77.88,0.93
CIP308328.163,G163,163,79.89,2.53,76.67,2.14,NA,NA,75.53,0.6,NA,NA,85.62,2.05
CIP308328.164,G164,164,68.65,0,60,0,NA,NA,76.34,0,82.78,0.99,77.16,1.23
CIP308328.165,G165,165,73.13,2.33,61.35,0.2,82.24,2.96,84.18,1.68,90.25,1.81,86.81,1.39
CIP308328.166,G166,166,74.05,0.72,65.51,0,83.89,0,NA,NA,87.11,0.35,88.97,0.36
CIP308328.167,G167,167,57.83,0.77,61.34,0.13,78.86,1.89,NA,NA,78.86,0.95,81.97,0.66
CIP308328.168,G168,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.51,1.65
CIP308328.169,G169,169,76.95,0.08,60.03,0,87.72,1.75,NA,NA,NA,NA,85.03,1.36
CIP308328.17,G17,17,80.41,0,60.42,0.08,87.41,2.1,NA,NA,79.87,0,87.11,0
CIP308328.170,G170,170,74.02,0,68.57,0,NA,NA,78.62,0.31,84.18,0.67,89.29,0.36
CIP308328.171,G171,171,0,0,0,0,NA,NA,0,0,0,0,0,0
CIP308328.172,G172,172,81.33,0.44,79.18,0.45,NA,NA,85.91,0.69,89.29,0,89.93,1.8
CIP308328.173,G173,173,76.68,0,65.29,0.48,NA,NA,86.81,1,84.75,0.68,88.03,2.11
CIP308328.174,G174,174,81.94,0,78,0,NA,NA,80.39,0,91.24,0,92.25,0.37
CIP308328.175,G175,175,82.97,0,75.95,0.09,91.58,1.1,NA,NA,NA,NA,NA,NA
CIP308328.176,G176,176,48.95,0,25.51,0.29,NA,NA,74.63,1.49,74.85,1.2,77.4,1.55
CIP308328.177,G177,177,NA,NA,NA,NA,NA,NA,79.37,0,81.97,0,NA,NA
CIP308328.178,G178,178,61.5,0.32,52.49,0.19,86.21,0.69,75.08,1.2,82.51,0.99,79.37,0.63
CIP308328.179,G179,179,81.29,0,70.88,0.4,85.62,0.68,75.76,0.61,84.46,0.68,77.88,0.31
CIP308328.18,G18,18,79.02,0.385,66.24,0.2,90.91,0,NA,NA,NA,NA,87.41,1.05
CIP308328.180,G180,180,60.7,1.09,56.87,0.57,80.65,0,78.86,1.89,78.13,1.25,NA,NA
CIP308328.181,G181,181,76.31,0.08,62.46,0,82.51,0.33,81.7,1,89.29,1.79,81.43,0.65
CIP308328.182,G182,182,75.12,1.32,48.48,0.61,NA,NA,NA,NA,88.97,0.71,84.46,1.01
CIP308328.183,G183,183,81.49,0.09,74.69,0,NA,NA,NA,NA,88.03,1.41,83.06,0.33
CIP308328.184,G184,184,0,0,22.56,0,0,0,0,0,87.41,0.7,0,0
CIP308328.19,G19,19,83.1,0,58.72,0.1,92.25,3.32,85.62,1.37,81.97,0,91.58,0.73
CIP308328.2,G2,2,70.35,0,48.51,0,85.03,1.36,70.42,1.13,84.75,0.34,75.3,0.3
CIP308328.20,G20,20,69.89,0.23,64.68,0.3,90.91,1.82,NA,NA,84.46,0.68,91.91,1.84
CIP308328.21,G21,21,74.61,0.15,63.42,0.21,88.03,4.23,NA,NA,79.37,1.59,88.97,3.2
CIP308328.22,G22,22,NA,NA,NA,NA,NA,NA,10.71,0,83.33,0.33,76.92,0
CIP308328.23,G23,23,81.74,0.38,76.94,0.51,88.65,4.26,84.46,0.68,84.75,2.03,NA,NA
CIP308328.24,G24,24,84.17,0.09,71.96,0.09,88.97,3.56,88.34,1.77,84.75,0,81.17,0.65
CIP308328.25,G25,25,76.76,1.19,56.56,0.14,86.81,2.78,84.75,1,83.33,0,75.08,0.3
CIP308328.26,G26,26,78.43,0.34,63.16,0.21,NA,NA,82.51,1,91.58,1.1,86.81,0
CIP308328.27,G27,27,89.72,0,84.58,0,89.93,0.72,86.21,0.34,87.72,0,83.06,0.33
CIP308328.28,G28,28,64.64,1.27,59.185,0.69,86.81,1.74,96.53,1.16,76.69,0,84.46,0.68
CIP308328.29,G29,29,NA,NA,NA,NA,NA,NA,75.3,0.9,75.76,0,NA,NA
CIP308328.3,G3,3,NA,NA,NA,NA,75.08,0.9,NA,NA,80.13,0.64,72.89,0.29
CIP308328.30,G30,30,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA
CIP308328.31,G31,31,69.3,0,67.31,0,85.91,0.69,85.62,0.68,71.84,0.57,70.82,0.28
CIP308328.32,G32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.18,0.34
CIP308328.33,G33,33,NA,NA,NA,NA,0,0,0,0,75.76,0.3,0,0
CIP308328.34,G34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.22,0.3
CIP308328.35,G35,35,0,0,0,0,0,0,0,0,NA,NA,0,0
CIP308328.36,G36,36,66.13,0.11,NA,NA,88.65,1.42,76.45,0.61,83.89,0.67,79.37,0
CIP308328.37,G37,37,0.5,0,0.98,0,0,0,39.8,0.5,NA,NA,0,0
CIP308328.38,G38,38,59.79,0.88,49.07,0.41,77.88,0.62,NA,NA,78.62,0.31,80.65,0
CIP308328.39,G39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.78,0.99
CIP308328.4,G4,4,77.57,3.06,65.36,0.22,87.41,2.1,NA,NA,87.72,1.05,90.25,1.81
CIP308328.40,G40,40,0.17,0,4.09,0.17,NA,NA,0,0,0,0,0,0
CIP308328.41,G41,41,84.96,0.09,80.21,0.53,89.29,0,85.91,0.34,83.33,0,63.29,1.27
CIP308328.42,G42,42,0.82,0,0,0,NA,NA,0,0,0,0,0,0
CIP308328.43,G43,43,69.61,0.7,67.56,0.68,83.06,3.99,76.69,0.61,NA,NA,83.61,0.67
CIP308328.44,G44,44,72.63,0.76,72.6,0.16,88.03,2.11,NA,NA,NA,NA,NA,NA
CIP308328.45,G45,45,0,0,0,0,NA,NA,0,0,NA,NA,0,0
CIP308328.47,G47,47,60.54,0.33,60.7,0,81.17,2.27,85.62,0,NA,NA,81.7,0.33
CIP308328.48,G48,48,38.82,0,41.72,0.24,80.39,3.86,71.63,1.15,77.16,1.23,75.53,0.6
CIP308328.49,G49,49,89.43,0.7,70.81,0.08,NA,NA,80.39,0.32,85.03,1.7,86.81,0.69
CIP308328.5,G5,5,76.6,0.43,66.45,0.08,75.3,0.6,86.21,0,85.62,1.37,85.32,0.34
CIP308328.50,G50,50,51.01,0.07,48.83,0.17,83.33,2,79.87,0.64,85.03,1.36,72.05,0.29
CIP308328.51,G51,51,61.32,0.37,60.63,0.06,85.62,1.03,NA,NA,85.62,1.03,70.22,0
CIP308328.52,G52,52,NA,NA,NA,NA,82.51,1.65,NA,NA,NA,NA,76.45,0
CIP308328.53,G53,53,0.82,0,0,0,NA,NA,0,0,0,0,0,0
CIP308328.54,G54,54,69.54,2.76,68.61,0.3,88.03,1.41,NA,NA,88.03,2.11,86.21,0
CIP308328.55,G55,55,68.54,1.9,66.43,0.24,78.86,2.84,89.93,1.8,87.72,1.75,84.75,0.68
CIP308328.56,G56,56,77.8,0.26,72.49,0.32,NA,NA,NA,NA,85.91,1.03,81.43,0.33
CIP308328.57,G57,57,NA,NA,NA,NA,80.13,4.17,79.37,2.22,84.46,1.35,82.51,0.99
CIP308328.58,G58,58,83.84,0.3,74.28,0.16,85.62,1.37,84.46,0.34,83.33,0,84.46,1.01
CIP308328.59,G59,59,72.65,0,69.78,0.09,84.75,0.34,80.39,0,80.65,0.32,81.97,0
CIP308328.6,G6,6,64.66,0.35,57.78,0,86.81,2.43,89.61,0.36,NA,NA,81.17,0.65
CIP308328.60,G60,60,0,0,0.17,0,NA,NA,0,0,0,0,0,0
CIP308328.61,G61,61,76.46,2.15,61.675,0.165,81,3,83.89,1.34,88.97,0.36,82.78,1.32
CIP308328.62,G62,62,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
CIP308328.63,G63,63,NA,NA,NA,NA,NA,NA,79.37,1.27,NA,NA,80.65,1.29
CIP308328.64,G64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.43,2.28
CIP308328.65,G65,65,72.83,0.32,69.01,0,82,2,89.29,0,90.91,0.73,81.43,0.98
CIP308328.66,G66,66,72.62,1.84,54.8,0.5,77,2,78.62,0.94,87.72,1.4,81.17,3.25
CIP308328.67,G67,67,54.85,0,57.25,0.1,75,1,72.67,1.74,74.85,1.5,79.11,0
CIP308328.68,G68,68,91.03,0.3,76.98,0.08,92,1,90.91,0,88.03,0.35,84.18,0.67
CIP308328.69,G69,69,75.66,0.32,71.7,0.33,88,0,NA,NA,86.21,0,91.24,0.73
CIP308328.7,G7,7,64.87,0.29,58.95,0.34,76.92,3.08,88.34,1.06,79.11,0.32,91.58,0.37
CIP308328.70,G70,70,NA,NA,NA,NA,NA,NA,87.11,1,90.25,0.72,NA,NA
CIP308328.71,G71,71,65.25,0.21,49.51,0.17,79,1,NA,NA,88.65,1.06,87.41,0
CIP308328.72,G72,72,77.16,0.13,61.71,0.37,82,0,73.75,0.29,NA,NA,85.03,0
CIP308328.73,G73,73,NA,NA,NA,NA,NA,NA,71.63,0,86.21,0.34,80.13,0.96
CIP308328.74,G74,74,81.72,1.18,78.38,0.26,85,2,NA,NA,89.61,1.08,83.89,0.67
CIP308328.75,G75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.76,G76,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7,0
CIP308328.77,G77,77,NA,NA,NA,NA,NA,NA,NA,NA,88.97,1.07,73.53,0
CIP308328.78,G78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
CIP308328.79,G79,79,NA,NA,NA,NA,NA,NA,72,1.73,NA,NA,73.53,0.29
CIP308328.8,G8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.11,1.39
CIP308328.80,G80,80,NA,NA,NA,NA,NA,NA,86.81,1.74,NA,NA,74.4,0
CIP308328.81,G81,81,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
CIP308328.82,G82,82,62.35,1.95,44.74,0.35,76,2,72.89,1.17,NA,NA,76.22,0
CIP308328.83,G83,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.43,0.29
CIP308328.84,G84,84,75.38,0,NA,NA,NA,NA,NA,NA,NA,NA,78.86,0.32
CIP308328.85,G85,85,65.38,0.97,NA,NA,78,2,72,1.73,NA,NA,85.91,2.75
CIP308328.86,G86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.32,0
CIP308328.87,G87,87,84.15,1.04,83.28,0.74,83,1,87.72,1.05,NA,NA,89.29,1.43
CIP308328.88,G88,88,64.39,0.28,65.75,0.12,NA,NA,NA,NA,NA,NA,88.03,0
CIP308328.89,G89,89,NA,NA,NA,NA,NA,NA,80.65,0,NA,NA,NA,NA
CIP308328.9,G9,9,81.42,1.27,79.16,0.26,85.62,3.08,81.7,0,81.7,0.33,85.03,0
CIP308328.90,G90,90,68.17,0.12,59.27,0.72,NA,NA,79.62,1,NA,NA,84.46,1.35
CIP308328.91,G91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.03,0.28
CIP308328.94,G94,94,NA,NA,48.39,0,88,0,NA,NA,NA,NA,79.62,0
CIP308328.95,G95,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIP308328.96,G96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.51,1.38
CIP308328.97,G97,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CIP308328.98,G98,98,NA,NA,0.17,0,NA,NA,0,0,NA,NA,0,0
CIP308328.99,G99,99,0,0,0.33,0,NA,NA,0,0,NA,NA,NA,NA
