"V1" "V2"
"1" "*M1" "PM1119_138"
"2" "*M2" "pPt-535772"
"3" "*M3" "pPt-456694"
"4" "*M4" "PM0117_156"
"5" "*M5" "stsnp_c1_6708"
"6" "*M6" "pPt-470842"
"7" "*M7" "pPt-457620"
"8" "*M8" "pPt-471169"
"9" "*M9" "pPt-456745"
"10" "*M10" "PM1279_162"
"11" "*M11" "stsnp_c1_15714"
"12" "*M12" "PM0212_187"
"13" "*M13" "PM0531_176"
"14" "*M14" "pPt-653070"
"15" "*M15" "stsnp_c1_14565"
"16" "*M16" "stsnp_c1_806"
"17" "*M17" "pPt-458291"
"18" "*M18" "stsnp_c1_13685"
"19" "*M19" "MICRO.8112.C1_325"
"20" "*M20" "stsnp_c1_4754"
"21" "*M21" "stsnp_c1_4765"
"22" "*M22" "pPt-459313"
"23" "*M23" "pPt-457118"
"24" "*M24" "stsnp_c1_11230"
"25" "*M25" "pPt-656549"
"26" "*M26" "pPt-472401"
"27" "*M27" "capPt-674504"
"28" "*M28" "stsnp_c1_5760"
"29" "*M29" "toPt-437056"
"30" "*M30" "pPt-533578"
"31" "*M31" "pPt-534179"
"32" "*M32" "stsnp_c1_3845"
"33" "*M33" "pPt-471360"
"34" "*M34" "pPt-650006"
"35" "*M35" "pPt-472129"
"36" "*M36" "MICRO.10124.C1_261"
"37" "*M37" "stsnp_c1_15429"
"38" "*M38" "pPt-552365"
"39" "*M39" "pPt-471906"
"40" "*M40" "stsnp_c1_1652"
"41" "*M41" "stsnp_c1_1724"
"42" "*M42" "pPt-456654"
"43" "*M43" "stsnp_c1_1748"
"44" "*M44" "stsnp_c1_1731"
"45" "*M45" "stsnp_c1_1577"
"46" "*M46" "pPt-537760"
"47" "*M47" "pPt-534144"
"48" "*M48" "pPt-457623"
"49" "*M49" "pPt-534579"
"50" "*M50" "pPt-537798"
"51" "*M51" "pPt-653008"
"52" "*M52" "pPt-458339"
"53" "*M53" "stsnp_c1_10893"
"54" "*M54" "stsnp_c1_23"
"55" "*M55" "stsnp_c1_14689"
"56" "*M56" "pPt-533874"
"57" "*M57" "pPt-538625"
"58" "*M58" "pPt-457663"
"59" "*M59" "pPt-650968"
"60" "*M60" "pPt-538059"
"61" "*M61" "pPt-472642"
"62" "*M62" "pPt-471801"
"63" "*M63" "pPt-457687"
"64" "*M64" "pPt-552395"
"65" "*M65" "pPt-653806"
"66" "*M66" "pPt-473287"
"67" "*M67" "pPt-540344"
"68" "*M68" "MICRO.7351.C1_583"
"69" "*M69" "stsnp_c1_5749"
"70" "*M70" "pPt-456492"
"71" "*M71" "pPt-534726"
"72" "*M72" "pPt-457013"
"73" "*M73" "PM1293_157"
"74" "*M74" "PM1360_153"
"75" "*M75" "stsnp_c1_5228"
"76" "*M76" "pPt-457050"
"77" "*M77" "toPt-437809"
"78" "*M78" "pPt-458624"
"79" "*M79" "pPt-458041"
"80" "*M80" "pPt-533811"
"81" "*M81" "pPt-655403"
"82" "*M82" "toPt-439915"
"83" "*M83" "stsnp_c1_16341"
"84" "*M84" "PM1332_107"
"85" "*M85" "pPt-653297"
"86" "*M86" "pPt-472177"
"87" "*M87" "pPt-458525"
"88" "*M88" "pPt-539763"
"89" "*M89" "pPt-540267"
"90" "*M90" "stsnp_c1_5850"
"91" "*M91" "pPt-538916"
"92" "*M92" "pPt-656018"
"93" "*M93" "PM0200_160"
"94" "*M94" "stsnp_c1_7346"
"95" "*M95" "pPt-535437"
"96" "*M96" "stsnp_c1_8429"
"97" "*M97" "pPt-459203"
"98" "*M98" "pPt-458627"
"99" "*M99" "pPt-653627"
"100" "*M100" "pPt-654915"
"101" "*M101" "stsnp_c1_8485"
"102" "*M102" "toPt-438776"
"103" "*M103" "stsnp_c1_8464"
"104" "*M104" "stsnp_c1_12534"
"105" "*M105" "pPt-657174"
"106" "*M106" "pPt-653222"
"107" "*M107" "pPt-472246"
"108" "*M108" "pPt-650777"
"109" "*M109" "pPt-471060"
"110" "*M110" "stsnp_c1_13889"
"111" "*M111" "stsnp_c1_14813"
"112" "*M112" "pPt-653290"
"113" "*M113" "pPt-539298"
"114" "*M114" "pPt-458310"
"115" "*M115" "toPt-438408"
"116" "*M116" "pPt-657327"
"117" "*M117" "pPt-471371"
"118" "*M118" "PM0107_168"
"119" "*M119" "stsnp_c1_10555"
"120" "*M120" "PM1287_194"
"121" "*M121" "stsnp_c1_10746"
"122" "*M122" "PM0283_178"
"123" "*M123" "stsnp_c1_11338"
"124" "*M124" "PM0442_180"
"125" "*M125" "pPt-536347"
"126" "*M126" "pPt-472721"
"127" "*M127" "pPt-654031"
"128" "*M128" "pPt-458962"
"129" "*M129" "pPt-473898"
"130" "*M130" "stsnp_c1_86"
"131" "*M131" "pPt-538681"
"132" "*M132" "pPt-657473"
"133" "*M133" "stsnp_c1_152"
"134" "*M134" "toPt-439349"
"135" "*M135" "stsnp_c1_27"
"136" "*M136" "stsnp_c1_137"
"137" "*M137" "toPt-440042"
"138" "*M138" "toPt-439604"
"139" "*M139" "stsnp_c1_155"
"140" "*M140" "pPt-653616"
"141" "*M141" "pPt-535097"
"142" "*M142" "toPt-437008"
"143" "*M143" "toPt-439697"
"144" "*M144" "pPt-473465"
"145" "*M145" "toPt-439572"
"146" "*M146" "stsnp_c1_59"
"147" "*M147" "toPt-439424"
"148" "*M148" "pPt-456510"
"149" "*M149" "pPt-458007"
"150" "*M150" "pPt-471811"
"151" "*M151" "pPt-539409"
"152" "*M152" "toPt-437382"
"153" "*M153" "toPt-440447"
"154" "*M154" "toPt-439764"
"155" "*M155" "pPt-534133"
"156" "*M156" "pPt-472006"
"157" "*M157" "pPt-458799"
"158" "*M158" "pPt-558903"
"159" "*M159" "toPt-440837"
"160" "*M160" "pPt-471876"
"161" "*M161" "stsnp_c1_3731"
"162" "*M162" "stsnp_c1_3745"
"163" "*M163" "MICRO.4670.C1_254"
"164" "*M164" "stsnp_c1_11722"
"165" "*M165" "stsnp_c1_8343"
"166" "*M166" "PM1316_205"
"167" "*M167" "MICRO.592.C12_920"
"168" "*M168" "stsnp_c1_11133"
"169" "*M169" "PM0529_160"
"170" "*M170" "stsnp_c1_12827"
"171" "*M171" "PM0146_161"
"172" "*M172" "pPt-657518"
"173" "*M173" "stsnp_c1_15760"
"174" "*M174" "pPt-473463"
"175" "*M175" "MICRO.8127.C1_1918"
"176" "*M176" "stsnp_c1_10441"
"177" "*M177" "stsnp_c1_10454"
"178" "*M178" "stsnp_c1_10453"
"179" "*M179" "stsnp_c1_8332"
"180" "*M180" "stsnp_c1_10413"
"181" "*M181" "stsnp_c1_3168"
"182" "*M182" "pPt-471982"
"183" "*M183" "stsnp_c1_10710"
"184" "*M184" "stsnp_c1_10694"
"185" "*M185" "stsnp_c1_13350"
"186" "*M186" "PM0436_275"
"187" "*M187" "pPt-458464"
"188" "*M188" "PM0427_232"
"189" "*M189" "PM0064_156"
"190" "*M190" "PM0371_175"
"191" "*M191" "pPt-459286"
"192" "*M192" "stsnp_c1_15785"
"193" "*M193" "toPt-440648"
"194" "*M194" "pPt-650026"
"195" "*M195" "PM0467_161"
"196" "*M196" "pPt-655798"
"197" "*M197" "PM0333_219"
"198" "*M198" "pPt-540411"
"199" "*M199" "pPt-654984"
"200" "*M200" "stsnp_c1_15546"
"201" "*M201" "PM0439_176"
"202" "*M202" "stsnp_c1_3692"
"203" "*M203" "PM0329_147"
"204" "*M204" "pPt-473740"
"205" "*M205" "PM1285_105"
"206" "*M206" "stsnp_c1_12700"
"207" "*M207" "pPt-657258"
"208" "*M208" "pPt-651347"
"209" "*M209" "PM0478_166"
"210" "*M210" "capPt-672706"
"211" "*M211" "capPt-673834"
"212" "*M212" "pPt-655182"
"213" "*M213" "toPt-441405"
"214" "*M214" "toPt-440909"
"215" "*M215" "pPt-471807"
"216" "*M216" "pPt-656439"
"217" "*M217" "pPt-473454"
"218" "*M218" "stsnp_c1_9450"
"219" "*M219" "pPt-536932"
"220" "*M220" "pPt-552581"
"221" "*M221" "stsnp_c1_2059"
"222" "*M222" "stsnp_c1_2104"
"223" "*M223" "pPt-473107"
"224" "*M224" "pPt-459221"
"225" "*M225" "pPt-458137"
"226" "*M226" "stsnp_c1_2967"
"227" "*M227" "pPt-653838"
"228" "*M228" "pPt-471879"
"229" "*M229" "toPt-437131"
"230" "*M230" "stsnp_c1_8659"
"231" "*M231" "stsnp_c1_14796"
"232" "*M232" "stsnp_c1_14917"
"233" "*M233" "stsnp_c1_12088"
"234" "*M234" "stsnp_c1_12101"
"235" "*M235" "stsnp_c1_14920"
"236" "*M236" "stsnp_c1_3074"
"237" "*M237" "stsnp_c1_11523"
"238" "*M238" "stsnp_c1_13671"
"239" "*M239" "stsnp_c1_8163"
"240" "*M240" "stsnp_c1_499"
"241" "*M241" "stsnp_c1_1547"
"242" "*M242" "PM0378_164"
"243" "*M243" "stsnp_c1_14131"
"244" "*M244" "pPt-458072"
"245" "*M245" "pPt-458625"
"246" "*M246" "stsnp_c1_10457"
"247" "*M247" "capPt-672625"
"248" "*M248" "capPt-672202"
"249" "*M249" "pPt-534974"
"250" "*M250" "pPt-538032"
"251" "*M251" "pPt-535682"
"252" "*M252" "pPt-458491"
"253" "*M253" "stsnp_c1_9894"
"254" "*M254" "stsnp_c1_8687"
"255" "*M255" "stsnp_c1_8704"
"256" "*M256" "stsnp_c1_4045"
"257" "*M257" "pPt-472393"
"258" "*M258" "pPt-651978"
"259" "*M259" "toPt-439886"
"260" "*M260" "toPt-437358"
"261" "*M261" "pPt-471273"
"262" "*M262" "pPt-656739"
"263" "*M263" "pPt-654556"
"264" "*M264" "stsnp_c1_8815"
"265" "*M265" "MICRO.1437.C1_390"
"266" "*M266" "stsnp_c1_10248"
"267" "*M267" "stsnp_c1_8381"
"268" "*M268" "stsnp_c1_15451"
"269" "*M269" "pPt-540163"
"270" "*M270" "pPt-535167"
"271" "*M271" "pPt-540053"
"272" "*M272" "pPt-472956"
"273" "*M273" "pPt-538652"
"274" "*M274" "PM1305_142"
"275" "*M275" "PM0495_138"
"276" "*M276" "stsnp_c1_11720"
"277" "*M277" "stsnp_c1_9821"
"278" "*M278" "stsnp_c1_6029"
"279" "*M279" "pPt-538788"
"280" "*M280" "pPt-654934"
"281" "*M281" "pPt-458325"
"282" "*M282" "pPt-470707"
"283" "*M283" "pPt-540454"
"284" "*M284" "pPt-536535"
"285" "*M285" "pPt-473161"
"286" "*M286" "pPt-651578"
"287" "*M287" "pPt-537377"
"288" "*M288" "pPt-652927"
"289" "*M289" "pPt-471414"
"290" "*M290" "pPt-472750"
"291" "*M291" "PM1350_231"
"292" "*M292" "pPt-472859"
"293" "*M293" "stsnp_c1_5532"
"294" "*M294" "MICRO.9324.C1_542"
"295" "*M295" "stsnp_c1_5612"
"296" "*M296" "stsnp_c1_5605"
"297" "*M297" "pPt-471848"
