"PSP.1stAco12","P2NP.1stAco12","PSP.2ndAco12","P2NP.2ndAco12","PSP.Lam11","P2NP.Lam11","PSP.Lav11","P2NP.Lav11","PSP.San10","P2NP.San10","PSP.San09","P2NP.San09","id"
"76.85","2.870","66.520","1.180","88.65","4.26","83.33","0.33","88.34","2.83","89.61","1.08","G1"
"84.14","1.900","79.100","2.140","81.43","2.93","89.29","0.71","81.97","2.30","79.11","0.00","G10"
"74.04","0.400","60.770","0.070","86.00","0.00","85.00","0.00","88.34","3.18","87.72","0.70","G100"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.91","1.82","G101"
"84.78","1.880","83.380","0.270","87.00","3.00","73.75","0.59","88.03","1.41","87.41","1.75","G102"
NA,NA,NA,NA,"85.00","1.00",NA,NA,NA,NA,"86.81","0.00","G103"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G104"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G105"
"59.40","0.130","63.720","0.140","85.00","2.00",NA,NA,"90.25","0.72","86.81","1.39","G106"
" 0.33","0.000"," 1.290","0.000",NA,NA,NA,NA,NA,NA," 0.00","0.00","G107"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G108"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88.65","2.48","G109"
"67.91","1.590","47.510","0.990","79.62","0.64","85.62","1.71","78.86","1.89","88.65","1.42","G11"
NA,NA,NA,NA,NA,NA,"88.65","1.06","86.51","0.00","84.18","0.34","G110"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.58","0.00","G111"
NA,NA,NA,NA,"92.59","0.00","86.21","0.00",NA,NA,"89.29","0.00","G112"
NA,NA,NA,NA,"89.29","0.00","83.89","0.34",NA,NA,"90.58","0.00","G113"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.37","0.00","G114"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85.32","0.00","G115"
NA,NA,NA,NA,NA,NA,"77.40","1.24",NA,NA,"82.24","0.00","G116"
"68.73","0.890","59.420","0.110","89.61","2.15","79.11","0.32",NA,NA,"78.62","0.94","G117"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00","0.00","G118"
NA,NA,NA,NA,"68.87","1.10","78.13","1.25",NA,NA,"85.32","0.00","G119"
"74.36","0.760","78.920","0.410","88.65","3.55",NA,NA,NA,NA,"84.46","0.34","G12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G120"
"74.05","0.410","63.360","0.000","87.41","0.70","86.21","0.00","83.61","0.33","83.89","0.34","G121"
"64.51","2.180","54.250","0.480","85.62","0.68","85.32","1.37","81.17","2.60","79.37","0.32","G122"
"71.14","1.730","60.880","1.340","88.97","1.07","87.11","2.44",NA,NA,"80.13","0.96","G123"
NA,NA,NA,NA,NA,NA," 0.00","0.00","72.89","0.87"," 0.00","0.00","G124"
"78.37","0.800","63.660","0.850",NA,NA,"85.62","2.74",NA,NA,"87.41","0.00","G125"
"62.17","1.610","49.190","1.210",NA,NA,"74.18","3.56","85.32","1.02","89.29","1.07","G126"
"66.65","0.390","44.630","0.060","80.65","2.26","81.70","0.33","88.03","1.76","88.65","0.71","G127"
"82.45","0.180","78.280","0.120","84.46","0.68","82.78","1.00",NA,NA,"85.62","0.68","G128"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83.61","0.00","G129"
"63.44","1.980","70.570","0.980","86.21","5.17",NA,NA,"78.13","0.31","86.21","2.07","G13"
"84.08","1.490","79.180","0.170",NA,NA,NA,NA,NA,NA,"89.93","0.00","G130"
"78.53","2.720","66.520","0.660",NA,NA,"80.65","1.61","87.41","1.05","85.32","1.37","G131"
NA,NA,NA,NA,NA,NA,NA,NA,"84.75","1.69","84.75","1.02","G132"
"81.59","0.210","68.810","0.690","90.58","2.17",NA,NA,"89.29","0.00","81.70","0.00","G133"
"78.57","0.260",NA,NA,"88.97","3.56","86.21","0.00",NA,NA,"85.62","0.00","G134"
NA,NA,NA,NA,NA,NA,"85.62","0.34","89.61","0.00","81.97","0.00","G135"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G136"
NA,NA,NA,NA,"80.91","2.91","83.89","1.00",NA,NA,"91.91","0.00","G137"
NA,NA,NA,NA,"84.18","2.69",NA,NA,NA,NA,NA,NA,"G138"
NA,NA,NA,NA,NA,NA,NA,NA,"91.24","1.46","86.21","0.00","G139"
"75.52","2.560",NA,NA,"81.17","2.27","83.89","2.68","87.72","2.11","86.51","2.08","G140"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82.51","0.33","G141"
"81.30","0.000","65.000","0.070",NA,NA,"85.91","0.69",NA,NA,"91.91","0.37","G142"
"83.00","1.060","75.370","1.070","83.61","1.34","78.86","0.32","88.34","0.71","89.61","0.36","G143"
"45.04","0.100","45.090","0.070","85.03","1.70",NA,NA,NA,NA,"66.23","0.00","G144"
