<<<<<<< HEAD
id,458782,stsnp_c1_6269,stsnp_c1_4586,stsnp_c1_4607,stsnp_c1_4604,471438,472090,stsnp_c1_2501,653975,473160,533740,654743,stsnp_c1_2517,538971,stsnp_c1_3297,459291,stsnp_c1_9122,441199,654285,654515,438472,438463,472525,537723,652662,439000,472164,439754,763687,stsnp_c1_9732,stsnp_c1_9725,763794,stsnp_c1_15404,stsnp_c1_13468,stsnp_c1_16340,656979,657208,stsnp_c1_5078,653009,stsnp_c1_13914,stsnp_c1_13929,652571,458651,471714,559418,471384,stsnp_c1_7931,471945,657574,654471,436878,473780,652964,438004,437942,471328,655621,651715,539952,552380,473254,559366,536203,539732,473407,533896,534891,651011,471637,437061,stsnp_c1_6307,437726,PM0153,stsnp_c1_6856,538396,stsnp_c1_4565,471162,MICRO.8582.C1_613,stsnp_c1_7093,PM0022,459240,540141,538856,438080,651584,PM0193,stsnp_c1_6338,651016,stsnp_c1_12486,458238,stsnp_c1_1199,stsnp_c1_9246,441146,stsnp_c1_13631,stsnp_c1_1574,stsnp_c1_3690,stsnp_c1_9977,440683,651124,stsnp_c1_14891,MICRO.2094.C3_1290,473433,stsnp_c1_3007,538867,457208,537183,473709,654150,439265,559453,763680,654313,472490,457784,stsnp_c1_13563,stsnp_c1_10985,stsnp_c1_13776,stsnp_c1_10959,stsnp_c1_11935,stsnp_c1_513,stsnp_c1_2672,PM0062,473141,471799,653377,471145,stsnp_c1_3157,470983,654638,stsnp_c1_3164,stsnp_c1_7505,456702,stsnp_c1_7986,459335,539276,457779,456574,471856,536257,650705,536995,534622,653036,stsnp_c1_14109,stsnp_c1_12166,540363,stsnp_c1_8296,stsnp_c1_5509,stsnp_c1_5485,534465,654618,559141,438550,439386,653047,440599,440196,651985,655827,439069,436952,stsnp_c1_5166,PM0024,458562,535215,654939,PM0054,stsnp_c1_1426,440358,stsnp_c1_2319,651168,656396,472210,stsnp_c1_8209,655972,470763,472890,MICRO.1131.C1_434,stsnp_c1_6181,stsnp_c1_16459,656192,437343,stsnp_c1_15363,656850,652951,458756,438090,MICRO.58.C1_516,536647,437854,stsnp_c1_8939,458523,653366,540222,472784,656657,656930,552198,457188,473247,537616,473222,456463,441141,stsnp_c1_6619,stsnp_c1_10582,stsnp_c1_10580,stsnp_c1_261,439062,472889,457178,657368,473652,stsnp_c1_14047,PM0126,stsnp_c1_3055,stsnp_c1_3057,stsnp_c1_12035,stsnp_c1_14465,539063,437059,stsnp_c1_9498,437377,stsnp_c1_8814,stsnp_c1_2132,stsnp_c1_2254,657037,stsnp_c1_16309,436913,stsnp_c1_4012,stsnp_c1_4009,650908,stsnp_c1_3996,438852,MICRO.10953.C1_310,473209,stsnp_c1_4359,437465,440455,651955,457986,MICRO.2270.C1_388,stsnp_c1_6959,stsnp_c1_6971,stsnp_c1_4908,stsnp_c1_4911,441263,438507,438817,440945,456682,440828,MICRO.6280.C3_1387,656291,473728,536168,537219,537662,stsnp_c1_14454,650660,stsnp_c1_9741,stsnp_c1_2713,652351,652733,537503,473991,650534
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,2,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,56,56.8,58.9,60.6,60.9,72.1,72.1,73.7,74,74,74,74.4,75,75.1,80.2,80.2,10.5,12.3,13,13,13.3,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.7,13.9,14.3,15.7,20.7,22.8,23,23,23.2,23.7,24.2,24.3,26.4,28.5,28.5,30.9,30.9,51.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,67.9,67.9,67.9,20.3,22.4,22.8,22.8,22.8,22.8,22.9,22.9,22.9,41.6,42.4,42.4,42.4,42.4,42.9,45,51.4,51.5,51.7,61.9,63.6,76.2,76.4,76.4,88.1,88.4,31.8,38,38,38,52.3,52.7,58.2,-1.4,-1.1,0.8,6.3,8.1,19,32.2,32.3,40.2,46.6,54.4,54.6,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.3,55.4,57.1,0.6,1.2,6.1,6.3,6.6,9.1,14.4,14.7,15.8,18.5,18.7,20.5,20.6,20.6,20.6,20.7,21.6,23.7,40.5,40.5,59.8,60.1,60.5,60.8,60.8,7.2,7.2,19.9,20.3,20.4,20.9,22.6,35,53,55.6,55.6,56.1,56.1,56.1,57.1,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,59.2,59.6,18.4,18.4,18.4,20.1,22.9,34.8,40.9,41.1,41.1,41.1,41.2,41.3,42.7,42.9,46.1,46.4,50.5,51,51.5,55.2,60.3,60.3,60.7,60.7,60.8,60.8,60.8,65.8,74,74,74,74,74,74,74,74,74,74.1,74.1,74.4,74.9,81.3,85.3,86.2,8.6,14.2,14.4,14.4,16,16,23.6,23.8,24.8,26.5,28.2,28.9,39.7,42.2,48.4,67.7,68.6,19.7,22,22.1,24.5,25.8,31.8,32.3,33,33.1,33.1,39.6,42.2,42.2,42.3,42.3,42.6,43.4,49.2,53.5,54,58.7,59.7,3.2,3.2,3.2,4.5,4.5,4.5,10.3,25.9,25.9,25.9,25.9,26,26.5,30.8,37.6,52.5,58.1,58.2,64.8,64.9,65
G1,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,np,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np
G2,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn
G3,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,--,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,nn,nn,nn,np,--,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn
G4,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,np,np,np,np,np,--,--,np,np,np,np,np,--,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,--,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn
G5,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
G6,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,--,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,--,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,nn,nn,--,nn,nn,--,np,np,--,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,np,np,np,--,np,np,np,np,np,--,np,--,np,np,np,np,--,nn,nn,nn,nn,nn,nn,--,--,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,np,np,np,--,np,--,np,np,--,np,np,np,np,np,np,np,np,np,np,np,np
G7,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,nn,nn,nn,nn,nn,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
G8,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
G9,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,--
