Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
(Individual:),Locus_ID,Segregation,Phase,Classification,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G168,G169,G170,G171,G172,G173,G174,G175,G176,G177,G178,G179,G180
1,pPt-655709,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np
2,pPt-471086,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np
3,pPt-652802,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,--,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np
4,pPt-538302,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np
5,stsnp_c1_6607,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,nn,np,nn,nn,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,nn,np,--,np,np,np,np,np,nn,np,np,np,np,np,np,--,--,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,--,--,np,--,--,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np
6,pPt-651042,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,nn,np,nn,nn,--,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,--,np,np,np,np,np,np,np,--,np
7,pPt-474025,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,nn,np,nn,nn,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np
8,pPt-457542,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,nn,np,nn,nn,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np
9,pPt-470698,<nnxnp>,{-0},"(nn,np)",np,nn,np,np,nn,np,nn,nn,np,np,np,np,np,np,np,np,--,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,nn,np,np,np,--,nn,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np
